Industry Name,Number of firms,Levered Beta ,D/E Ratio,Effective Tax rate,Cash/Firm value,HiLo Risk,Standard deviation of equity,Standard deviation in operating income (last 10 years),2019,2020,2021,2022,Average (2019-23)
Metals & Mining,68,1.290053464,0.215449311,0.041470687,0.08907141,0.665804968,0.700562395,0.527113403,1.10944227,1.086572203,0.82,1.127997214,1.072640477
Office Equipment & Services,16,1.17709467,0.668014226,0.195326861,0.071772033,0.444194947,0.352209346,0.18329346,1.333667947,1.24423263,0.83,1.111467824,1.072841095
Oil/Gas (Integrated),4,0.977485893,0.115038163,0.142221532,0.049056001,0.34410897,0.305489444,0.97627648,1.055607165,1.117466173,0.98,1.250926196,1.070053581
Oil/Gas (Production and Exploration),174,1.257431552,0.200833284,0.046038595,0.038114747,0.578964294,0.569768774,2.317775631,1.074317454,1.07671064,0.81,1.127988922,1.04502902
Oil/Gas Distribution,23,0.991255331,0.714109267,0.069021118,0.016703539,0.423586299,0.335493363,0.3356126,0.623160856,0.61751923,0.6,0.864510871,0.672336175
Oilfield Svcs/Equip.,101,1.375159355,0.326041805,0.070685214,0.069065997,0.532326658,0.468981073,0.675725615,1.066886477,1.218654717,0.83,1.179173186,1.096330617
Packaging & Container,25,0.952421997,0.619656464,0.14661913,0.030228142,0.368879381,0.244313841,0.081676535,0.737055023,0.678173517,0.68,0.778295821,0.708804817
Paper/Forest Products,7,1.383006671,0.438650197,0.127574573,0.075671085,0.601156673,0.428435971,0.928325399,1.172874571,1.254374747,0.96,0.998495841,1.102317092
Power,48,0.725000975,0.771557537,0.122983982,0.0102966,0.255631325,0.171781235,0.080602689,0.346016508,0.3784354,0.43,0.557464163,0.435188492
Precious Metals,74,1.233619039,0.163263223,0.028730153,0.074262155,0.694732797,0.725433145,0.708199977,1.149074754,1.332047967,0.75,0.987377494,1.081141766
Publishing & Newspapers,20,1.114895777,0.421763771,0.096670145,0.073486465,0.460650576,0.309197444,0.120289845,0.897885911,0.756784231,1.1,1.464264011,1.026617936
R.E.I.T.,223,1.063376043,0.773279331,0.033816563,0.018257813,0.30827747,0.215415326,0.205891191,0.40946858,0.425620338,0.79,0.988221652,0.65977348
Real Estate (Development),18,1.51669245,1.125565615,0.066640217,0.069451077,0.59355605,0.51250635,0.698742597,0.871037593,0.891074052,0.56,0.74244118,0.789671531
Real Estate (General/Diversified),12,0.789802977,0.398188012,0.093712952,0.085365154,0.526461948,0.286617493,1.118865945,1.327357155,1.501720442,0.76,0.833266341,1.017456619
Real Estate (Operations & Services),60,1.34548433,1.092574075,0.054661663,0.081379435,0.53687989,0.444342205,1.218184634,0.952877058,0.675047608,0.75,0.87112475,0.810814004
Recreation,57,1.417980944,0.520605387,0.094928845,0.051786361,0.593925955,0.421311539,0.183035953,0.809232967,0.754028617,0.77,1.073632587,0.89647742
Reinsurance,1,0.829248203,0.450986747,0.064829822,0.254869779,0.2075824,0.193676157,0.21772503,0.882017356,0.769854293,1.13,1.295026877,0.981701181
Restaurant/Dining,70,1.410397869,0.307754372,0.085443306,0.017235636,0.474919713,0.411470534,0.163081519,0.65106884,0.751896381,1.11,1.332165894,1.002226565
Retail (Automotive),30,1.520192512,0.574868042,0.158385094,0.018942366,0.49581621,0.35710896,0.31378398,0.760998001,0.868518693,0.99,1.12149126,0.964746808
Retail (Building Supply),15,1.789172351,0.212135277,0.13391716,0.014968543,0.470817516,0.375461837,0.3381968,0.967279178,1.150971143,1.43,1.418963248,1.306851106
Retail (Distributors),69,1.275245693,0.395672959,0.135946439,0.022524355,0.461934914,0.370830108,0.2535052,0.987021181,0.893714965,0.75,1.064511615,0.940264425
Retail (General),15,1.363213619,0.199696405,0.212597638,0.028245545,0.346004523,0.315280803,0.110837366,0.751486187,0.945726795,0.81,1.03835631,0.953133918
Retail (Grocery and Food),13,0.667569733,0.658175735,0.164543712,0.05543602,0.444271059,0.282646615,0.285025674,0.281232622,0.345103064,0.15,0.212006962,0.292303511
Retail (Online),63,1.487130069,0.191744472,0.04094172,0.04117521,0.702486933,0.594103888,0.774344684,1.344498259,1.159418247,1.14,1.065003444,1.212981959
Retail (Special Lines),78,1.475207383,0.391583729,0.1501935,0.040041705,0.508781328,0.385859052,0.223161388,0.800065041,0.69034638,1.03,1.228964711,0.987450493
Rubber& Tires,3,0.83801498,3.303339605,0,0.099691022,0.450261864,0.397859984,0.506719986,0.239029881,0.453181329,0.54,0.589212936,0.417817939
Semiconductor,68,1.607746259,0.112656284,0.081819269,0.033748762,0.489337923,0.384042651,0.384377614,1.263796728,1.236890277,0.96,1.135821074,1.22615506
Semiconductor Equip,30,1.757142722,0.117868248,0.109368984,0.044292966,0.435133735,0.41568723,0.684929092,1.390889493,1.253484311,1.07,1.34141807,1.349007847
Shipbuilding & Marine,8,0.943738632,0.390185757,0.062322052,0.06439213,0.489323238,0.411608786,0.829986304,0.778507345,1.571394502,0.74,0.802317476,0.934510656
Shoe,13,1.327692534,0.090140656,0.106983677,0.034958749,0.508463458,0.393741859,0.282707902,0.741282004,0.833609969,0.98,1.188491653,1.006410202
Software (Entertainment),91,1.363575731,0.048025373,0.03816572,0.030718171,0.687155216,0.587095439,0.691367101,1.269794732,1.285874455,0.96,1.207549883,1.216219856
Software (Internet),33,1.551305888,0.176554644,0.023650264,0.032900021,0.660549725,0.552438375,0.910900425,1.305143455,1.503203406,0.75,0.975063804,1.189984415
Software (System & Application),390,1.46977124,0.093648718,0.033951144,0.028066077,0.616406644,0.521112102,0.322401594,1.161959646,1.149160827,0.89,1.12245494,1.147309271
Steel,28,1.342484377,0.285951025,0.14954163,0.088354279,0.394125048,0.38298957,1.04585734,1.294871402,1.285568914,0.78,0.982556998,1.111108961
Telecom (Wireless),16,1.03097371,0.651544868,0.038302283,0.026437165,0.572471776,0.519210477,0.694591381,0.706265833,0.596908074,0.39,0.627230113,0.606352489
Telecom. Equipment,79,1.233119487,0.11678322,0.04057193,0.037911017,0.527330049,0.413487539,0.136117691,1.022858702,0.835978658,0.83,1.05686348,0.984838083
Telecom. Services,49,0.882268165,1.177175992,0.065368083,0.011252986,0.555402621,0.553716956,0.222172993,0.740826033,0.666584224,0.42,0.509153351,0.562093947
Tobacco,15,2.000456503,0.240554011,0.098330509,0.028404797,0.606348817,0.440592357,0.076952135,1.125264354,1.426322641,0.61,0.862249085,1.153617306
Transportation,18,1.058265749,0.295101515,0.163858167,0.062843539,0.478928618,0.280462868,0.269633586,0.89929754,0.95727017,0.79,0.71581477,0.85739526
Transportation (Railroads),4,1.107830862,0.274512051,0.165679597,0.014686917,0.227191387,0.163412691,0.118108563,2.080151823,1.891983181,0.74,0.647608223,1.258424952
Trucking,35,1.545124471,0.439135865,0.147859326,0.057218078,0.445815301,0.411713246,1.500384369,0.71085656,1.041066799,0.94,1.278488179,1.040653457
Utility (General),15,0.63513942,0.741750035,0.132030477,0.003312796,0.156084019,0.149707622,0.093615784,0.174569839,0.189688417,0.48,0.596218786,0.369987765
Utility (Water),16,1.152415354,0.433964759,0.084454308,0.003534797,0.365513191,0.413732944,0.137466713,0.322957085,0.565321257,0.57,0.614179952,0.588995834
Total Market,7165,1.157270294,0.535219787,0.075197838,0.066630318,0.483244849,0.413732944,0.19007882,0.802017397,0.829453773,0.75,0.909380568,0.835117834
Total Market (without financials),5649,1.292817026,0.263988678,0.06384678,0.03751669,0.557521381,0.479768132,0.185036105,0.998558947,1.012481677,0.86,1.040206817,1.006493116
